[2024-01-27 13:18:06] ---->itr: 135::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:06] ---->itr: 136::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:07] ---->itr: 137::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:07] ---->itr: 138::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:07] ---->itr: 139::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:07] ---->itr: 140::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:07] ---->itr: 141::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:07] ---->itr: 142::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:07] ---->itr: 143::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:07] ---->itr: 144::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:07] ---->itr: 145::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:08] ---->itr: 146::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:08] ---->itr: 147::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:08] ---->itr: 148::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:08] ---->itr: 149::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:08] ---->itr: 150::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:08] ---->itr: 151::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:08] ---->itr: 152::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:08] ---->itr: 153::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:09] ---->itr: 154::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:09] ---->itr: 155::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:09] ---->itr: 156::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:09] ---->itr: 157::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:09] ---->itr: 158::::: found: 0::::::::2.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:09] ---->itr: 159::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:09] ---->itr: 160::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:09] ---->itr: 161::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:09] ---->itr: 162::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:10] ---->itr: 163::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:10] ---->itr: 164::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:10] ---->itr: 165::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:10] ---->itr: 166::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:10] ---->itr: 167::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:10] ---->itr: 168::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:10] ---->itr: 169::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:10] ---->itr: 170::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:11] ---->itr: 171::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:11] ---->itr: 172::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:11] ---->itr: 173::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
