[2024-01-27 13:36:28] ---->itr: 144::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:28] ---->itr: 145::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:28] ---->itr: 146::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:28] ---->itr: 147::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:28] ---->itr: 148::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:28] ---->itr: 149::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:28] ---->itr: 150::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:28] ---->itr: 151::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:28] ---->itr: 152::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:28] ---->itr: 153::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:28] ---->itr: 154::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:28] ---->itr: 155::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:28] ---->itr: 156::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:28] ---->itr: 157::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:28] ---->itr: 158::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:28] ---->itr: 159::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:28] ---->itr: 160::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:28] ---->itr: 161::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:28] ---->itr: 162::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:28] ---->itr: 163::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:29] ---->itr: 164::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:29] ---->itr: 165::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:29] ---->itr: 166::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:29] ---->itr: 167::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:29] ---->itr: 168::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:29] ---->itr: 169::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:29] ---->itr: 170::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:29] ---->itr: 171::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:29] ---->itr: 172::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:29] ---->itr: 173::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:36:29] ---->itr: 174::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 
