[2024-01-27 15:31:01] ---->itr: 189::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:01] ---->itr: 190::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:02] ---->itr: 191::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:02] ---->itr: 192::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:02] ---->itr: 193::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:02] ---->itr: 194::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:02] ---->itr: 195::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:02] ---->itr: 196::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:02] ---->itr: 197::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:02] ---->itr: 198::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:03] ---->itr: 199::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:03] ---->itr: 200::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:03] ---->itr: 201::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:03] ---->itr: 202::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:03] ---->itr: 203::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:03] ---->itr: 204::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:03] ---->itr: 205::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:03] ---->itr: 206::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:03] ---->itr: 207::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:03] ---->itr: 208::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:03] ---->itr: 209::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:04] ---->itr: 210::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:04] ---->itr: 211::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:04] ---->itr: 212::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:04] ---->itr: 213::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:04] ---->itr: 214::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:04] ---->itr: 215::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:05] ---->itr: 216::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:05] ---->itr: 217::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:05] ---->itr: 218::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:05] ---->itr: 219::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:05] ---->itr: 220::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
